m,split,method,variant,n_repeats,covered_model_repeat_evaluations,total_model_repeat_evaluations,pooled_model_repeat_picp,coverage_aggregation_unit,mae_mean,mae_sd,mae_ci95_half,rmse_mean,rmse_sd,rmse_ci95_half,mape_mean,mape_sd,mape_ci95_half,picp_mean,picp_sd,picp_ci95_half,mpiw_mean,mpiw_sd,mpiw_ci95_half,ece_mean,ece_sd,ece_ci95_half,nll_mean,nll_sd,nll_ci95_half,interval_score_mean,interval_score_sd,interval_score_ci95_half,wis_1level_mean,wis_1level_sd,wis_1level_ci95_half,physics_residual_abs_mean,physics_residual_abs_sd,physics_residual_abs_ci95_half
2,test,deep_ensemble,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.34190651125617716,0.006748033965440153,0.004182474783557892,0.42928406086889226,0.003806772224772013,0.002359461869694219,0.6401569395966837,0.025851618064659344,0.0160229988798752,1.0,0.0,0.0,2.980118128337554,0.06227666286204061,0.03859947554481988,,,,,,,2.980118128337554,0.06227666286204061,0.03859947554481988,0.46753563587909974,0.004440961456234588,0.002752536427733016,,,
2,calibration,bayesian_laplace,raw,10,259,270,0.9592592592592593,trajectory_by_model_repeat,0.47572882276511297,0.004677033465087791,0.002898855374731377,0.6001368749040151,0.014835065853305936,0.009194869077667077,3.591242222458336,0.2507291486938156,0.1554035363908278,0.9592592592592594,0.011712139482105092,0.007259259259259248,2.430891298968228,0.011915109704139677,0.007385061506227847,0.03162898148148147,0.006766804019679898,0.004194108583705581,0.9095560093917607,0.02334418780938117,0.01446887750645869,2.840675486168468,0.11835124325743399,0.07335486055080286,0.5883453305462252,0.008247111184881556,0.005111612470331641,,,
2,test,bayesian_laplace,raw,10,375,380,0.9868421052631579,trajectory_by_model_repeat,0.34563155105631604,0.01287698880128357,0.007981240347241335,0.4387561989039307,0.010964331619385544,0.0067957631439774955,0.6462287177965955,0.056520254806115354,0.035031616867599,0.9868421052631579,0.013869638860387614,0.008596491228070165,2.430891298968228,0.011915109704139868,0.007385061506227966,0.11309828947368424,0.008830713752934857,0.005473333089552524,0.6914701423351357,0.014540582575381988,0.009012346451016956,2.4591143130981115,0.04327104367590645,0.02681967073070388,0.44627358734402056,0.011547272336913671,0.007157073543992874,,,
2,test,bayesian_laplace,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.34563155105631604,0.01287698880128357,0.007981240347241335,0.4387561989039307,0.010964331619385544,0.0067957631439774955,0.6462287177965955,0.056520254806115354,0.035031616867599,1.0,0.0,0.0,2.981789880990982,0.1542445154852517,0.09560174116241138,,,,,,,2.981789880990982,0.1542445154852517,0.09560174116241138,0.471162900100824,0.008749473294492886,0.005422979731733277,,,
3,calibration,deterministic,raw,10,0,0,,not_applicable_no_interval,0.47513367892760366,0.0045089200866002665,0.0027946576232227376,0.5981603110045723,0.011255886865168633,0.006976470957504669,3.7545829511938935,0.22470692641379425,0.13927479592275452,,,,,,,,,,,,,,,,,,,,,
3,test,deterministic,raw,10,0,0,,not_applicable_no_interval,0.339437184708291,0.009343961884471367,0.005791447577246812,0.4332262440205253,0.007699014031082015,0.004771898334859457,0.649910114218534,0.0504479085748954,0.03126793768056727,,,,,,,,,,,,,,,,,,,,,
3,test,deterministic,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.339437184708291,0.009343961884471367,0.005791447577246812,0.4332262440205253,0.007699014031082015,0.004771898334859457,0.649910114218534,0.0504479085748954,0.03126793768056727,1.0,0.0,0.0,3.0059995353221893,0.13495238773710672,0.083644356501777,,,,,,,3.0059995353221893,0.13495238773710672,0.083644356501777,0.4664163442613337,0.007022137575731433,0.004352365961343432,,,
3,calibration,gaussian_process,raw,10,260,270,0.9629629629629629,trajectory_by_model_repeat,0.47438283330323283,1.0633379461994326e-09,6.590636871652551e-10,0.5856812315379573,9.032770216172969e-10,5.598568982951463e-10,3.638980846295447,5.587852635410266e-08,3.463386945225094e-08,0.962962962962963,1.1702778228589004e-16,7.253457094217689e-17,2.4751955095492284,2.7413295115631105e-08,1.6990936344209585e-08,0.030660648148148152,3.657118196434064e-18,2.266705341943028e-18,0.8888260712068495,2.945683416049304e-09,1.8257534966582334e-09,2.830443871870174,2.546681114624155e-08,1.5784493080843398e-08,0.586576216092135,4.1704218215949957e-10,2.58485422494208e-10,,,
3,test,gaussian_process,raw,10,370,380,0.9736842105263158,trajectory_by_model_repeat,0.35085867560172057,1.4987526795232042e-09,9.289365348484505e-10,0.43918710812850287,2.021335967676914e-09,1.2528370125587894e-09,0.6552102394305164,9.04803024206856e-09,5.608027244992175e-09,0.9736842105263157,1.1702778228589004e-16,7.253457094217689e-17,2.471570026033989,2.7591544239796956e-08,1.7101416295975258e-08,0.10947828947368424,0.0,0.0,0.6999848253148754,6.9665939238067875e-09,4.3179396492129194e-09,2.488060147561149,1.3613930630954265e-08,8.438001625464341e-09,0.4526301742664553,1.226236145149293e-09,7.600290369077334e-10,,,
3,test,gaussian_process,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.35085867560172057,1.4987526795232042e-09,9.289365348484505e-10,0.43918710812850287,2.021335967676914e-09,1.2528370125587894e-09,0.6552102394305164,9.04803024206856e-09,5.608027244992175e-09,1.0,0.0,0.0,2.9523141502988395,2.5747519174250674e-08,1.595847771914002e-08,,,,,,,2.9523141502988395,2.5747519174250674e-08,1.595847771914002e-08,0.47473750773015483,1.111153492852656e-09,6.887000700233396e-10,,,
3,calibration,mc_dropout,raw,10,257,270,0.9518518518518518,trajectory_by_model_repeat,0.4641380079396768,0.0049158598837917575,0.0030468815226423894,0.5846664803491027,0.008383951983734398,0.00519642727616918,3.4330910311886043,0.29591925929611484,0.18341265712559288,0.951851851851852,0.017890588575542488,0.011088701681621519,2.3992232559248494,0.08847113446632897,0.05483497725015447,0.03867787037037036,0.0076777948773877076,0.0047587465671432,0.8781912458291188,0.00805825893792366,0.004994560634972639,2.8397579335469088,0.0899402556180402,0.05574554797378937,0.5772627663019259,0.004040648727515975,0.0025044200279078655,,,
3,test,mc_dropout,raw,10,375,380,0.9868421052631579,trajectory_by_model_repeat,0.34572718278192427,0.013656475675505203,0.008464371317275463,0.43352555263708725,0.010464581055589865,0.00648601453544216,0.6673492871283017,0.039458599430029266,0.0244566933059064,0.9868421052631579,0.013869638860387614,0.008596491228070165,2.352443672004884,0.09174413781049073,0.056863605740106696,0.10717565789473685,0.01316246265738827,0.008158178876394851,0.6705310664987008,0.02114686183918739,0.013106960760238979,2.3972119200949082,0.04397534429582669,0.027256200777521517,0.4434169321777806,0.013634575363210088,0.00845079736308444,,,
3,test,mc_dropout,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.34572718278192427,0.013656475675505203,0.008464371317275463,0.43352555263708725,0.010464581055589865,0.00648601453544216,0.6673492871283017,0.039458599430029266,0.0244566933059064,1.0,0.0,0.0,2.895258181196499,0.08288141091050608,0.0513704306964437,,,,,,,2.895258181196499,0.08288141091050608,0.0513704306964437,0.46713342080166587,0.011263884404047712,0.006981427883457262,,,
3,calibration,deep_ensemble,raw,10,258,270,0.9555555555555556,trajectory_by_model_repeat,0.4695536135092239,0.0014109354320161363,0.0008745068409345111,0.5818766383079171,0.004487383288138871,0.002781308977240117,3.4368835762114798,0.14420956880555566,0.08938201677199939,0.9555555555555557,0.01561618597614012,0.009679012345678997,2.3389593216987787,0.03304707612485223,0.020482789990446785,0.03731342592592593,0.006677172705960332,0.004138554519904304,0.8683030723371902,0.005931847134591405,0.003676596944741434,2.7497241396015317,0.05970555259800103,0.03700588489305869,0.5781331623707624,0.0037006997790104764,0.0022937174866783576,,,
3,test,deep_ensemble,raw,10,373,380,0.9815789473684211,trajectory_by_model_repeat,0.3465340064611825,0.006532612568989915,0.004048955218732587,0.4289995258312089,0.0036705083841482807,0.0022750046662719575,0.6688124363457042,0.035544959326802725,0.022030994038905415,0.9815789473684211,0.012711733987885459,0.007878814352731084,2.2861695194103744,0.03583316654860679,0.022209626725671415,0.09369118421052633,0.009533619655703297,0.005908998681723447,0.6530040305717293,0.008802038180983043,0.005455559785919671,2.3216974018503667,0.03682763691699966,0.022826005845886378,0.44058940624161985,0.005893083300746135,0.003652570871606324,,,
3,test,deep_ensemble,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.3465340064611825,0.006532612568989915,0.004048955218732587,0.4289995258312089,0.0036705083841482807,0.0022750046662719575,0.6688124363457042,0.035544959326802725,0.022030994038905415,1.0,0.0,0.0,2.816252091148055,0.06582811114065192,0.04080068599314829,,,,,,,2.816252091148055,0.06582811114065192,0.04080068599314829,0.4641396295415097,0.004161732486917305,0.0025794685195112146,,,
3,calibration,bayesian_laplace,raw,10,259,270,0.9592592592592593,trajectory_by_model_repeat,0.47513290023246857,0.004650419534299121,0.0028823598895300504,0.5984609543771277,0.010366532596797295,0.006425243471074839,3.6797117459013586,0.3267308219662134,0.20250986152167286,0.9592592592592594,0.011712139482105092,0.007259259259259248,2.4185064813595165,0.00852718562339866,0.005285204405792581,0.03495055555555554,0.008958654867635998,0.005552631814004468,0.9065478956890394,0.01640477922199696,0.010167787503328217,2.8580811414141367,0.08292618181332101,0.05139817998949996,0.5886066260030243,0.005315597310522115,0.0032946413466009798,,,
3,test,bayesian_laplace,raw,10,374,380,0.9842105263157894,trajectory_by_model_repeat,0.34374912107657446,0.014864681879942356,0.009213225281152478,0.43600494282634694,0.011113660455425162,0.006888318115453994,0.648221798577851,0.02890699875235546,0.017916743449909418,0.9842105263157895,0.013589415249850571,0.008422806834833374,2.4185064813595165,0.008527185623398718,0.005285204405792617,0.11309671052631583,0.010681648138559263,0.006620554107339641,0.6857885398727188,0.01445347967437683,0.008958359513652,2.460694492139729,0.04203674552232369,0.026054644809199758,0.4445560435081533,0.013091625655397643,0.008114273647688831,,,
3,test,bayesian_laplace,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.34374912107657446,0.014864681879942356,0.009213225281152478,0.43600494282634694,0.011113660455425162,0.006888318115453994,0.648221798577851,0.02890699875235546,0.017916743449909418,1.0,0.0,0.0,3.0056730628013613,0.09702899775422028,0.060139195869392925,,,,,,,3.0056730628013613,0.09702899775422028,0.060139195869392925,0.47050740401585,0.012153222888733013,0.007532645587057135,,,
4,calibration,deterministic,raw,10,0,0,,not_applicable_no_interval,0.4761208228421984,0.006311025350928503,0.003911614038079512,0.5952689485035376,0.01607171554009565,0.009961352494552987,3.476279518864281,0.3192272607020431,0.19785910606682433,,,,,,,,,,,,,,,,,,,,,
4,test,deterministic,raw,10,0,0,,not_applicable_no_interval,0.3538450192611077,0.01777215438326387,0.011015295408734738,0.4408932699075557,0.013247706125753014,0.00821101332546913,0.6878044219460198,0.06774392866255748,0.04198812199544259,,,,,,,,,,,,,,,,,,,,,
