m,method,variant,residual_group,n,rmse,picp,mpiw,ece,nll,physics_residual_abs,error_width_corr
2,fixed_pinn_lambda_10_uq,raw,mid,12.0,0.7242145493307278,0.19444444444444442,0.2349654941573842,0.5314208333333333,99.72338800576277,0.0048667631319012205,0.04080769773028625
2,no_physics_uq,raw,high,13.0,0.8469255294997495,0.15384615384615385,0.31092012402338853,0.5706836538461538,50.64198628926554,0.6363950308970864,0.4556339967402394
2,no_physics_uq,raw,low,13.0,0.7339457242978734,0.07692307692307693,0.16509667659739555,0.6411964743589743,178.24018738889683,0.09781027543593573,-0.13907220901960463
2,no_physics_uq,raw,mid,12.0,0.7537983979458404,0.2222222222222222,0.21891360169069632,0.5036430555555556,81.48749426369899,0.31564802348614873,0.2737713162699969
3,fixed_pinn_lambda_10_uq,calibrated,high,13.0,0.5317191768855345,1.0,3.1110755609073792,0.1280342948717949,0.9068955451910409,0.021098756115875205,0.37169806231516667
3,fixed_pinn_lambda_10_uq,calibrated,low,13.0,0.46302149374373447,1.0,3.089938542079658,0.16329070512820518,0.8478737021751218,0.005891515439897337,0.46195310292452163
3,fixed_pinn_lambda_10_uq,calibrated,mid,12.0,0.6023014967046149,1.0,3.0820477274227116,0.11620416666666668,0.9740758198425983,0.012581862597231014,0.03444330481591694
3,no_physics_uq,calibrated,high,13.0,0.6819453355037434,1.0,3.29241045884406,0.07035929487179489,1.0746142244498011,0.8140431419434266,0.03291301317827746
3,no_physics_uq,calibrated,low,13.0,0.45223802565614607,1.0,3.1516266184936583,0.17611121794871798,0.8585318341801349,0.13446558082993498,0.07267836845153193
3,no_physics_uq,calibrated,mid,12.0,0.4224071568615582,1.0,3.186141730648362,0.1908013888888889,0.8461255022692825,0.38971484210946983,0.38016748507247716
3,fixed_pinn_lambda_10_uq,raw,high,13.0,0.5317191768855345,0.17948717948717952,0.21873301395262854,0.5514528846153847,47.79449608397781,0.021098756115875205,0.3716980623151669
3,fixed_pinn_lambda_10_uq,raw,low,13.0,0.46302149374373447,0.05128205128205129,0.19759599512490703,0.6347862179487179,33.79602607505989,0.005891515439897337,0.46195310292452135
3,fixed_pinn_lambda_10_uq,raw,mid,12.0,0.6023014967046149,0.25,0.18970518046796006,0.4862819444444444,157.40948455930186,0.012581862597231014,0.034443304815917106
3,no_physics_uq,raw,high,13.0,0.6819453355037434,0.05128205128205129,0.3039740814230381,0.6347862179487179,43.94910827475743,0.8140431419434266,0.03291301317827713
3,no_physics_uq,raw,low,13.0,0.45223802565614607,0.3333333333333333,0.16319024107263733,0.4520939102564103,57.294196092555815,0.13446558082993498,0.07267836845153214
3,no_physics_uq,raw,mid,12.0,0.4224071568615582,0.2222222222222222,0.19770535322734048,0.5557263888888889,30.100905323904275,0.38971484210946983,0.38016748507247694
4,fixed_pinn_lambda_10_uq,calibrated,high,13.0,0.38075264360972394,1.0,3.0020056144573175,0.19854711538461542,0.7745614705126759,0.041883929112631314,0.17959088333997977
4,fixed_pinn_lambda_10_uq,calibrated,low,13.0,0.4553515975302809,1.0,2.906930806267654,0.15047019230769235,0.8094201686298849,0.0049618840363479765,-0.048640186131045836
4,fixed_pinn_lambda_10_uq,calibrated,mid,12.0,0.4475957677541252,1.0,2.925317987569239,0.15516805555555557,0.8074194620108339,0.016994751381276194,0.12730701991644805
4,no_physics_uq,calibrated,high,13.0,0.4402057050195225,1.0,2.938040593916025,0.15047019230769235,0.8039031179856041,0.8330929738010303,-0.11411908701376018
4,no_physics_uq,calibrated,low,13.0,0.4656695592289328,1.0,2.7855289367488765,0.13123942307692313,0.7926953145453863,0.12707873940964282,0.00782309189132234
4,no_physics_uq,calibrated,mid,12.0,0.4108138877312551,1.0,2.8244205862387184,0.15772916666666667,0.7526416574741613,0.4081608966470332,0.12719424387931016
4,fixed_pinn_lambda_10_uq,raw,high,13.0,0.38075264360972394,0.20512820512820515,0.3238491392312332,0.5738887820512821,11.039951798772274,0.041883929112631314,0.17959088333997927
4,fixed_pinn_lambda_10_uq,raw,low,13.0,0.4553515975302809,0.20512820512820515,0.22877433104156997,0.5931195512820513,35.28981205316328,0.0049618840363479765,-0.04864018613104495
4,fixed_pinn_lambda_10_uq,raw,mid,12.0,0.4475957677541252,0.2222222222222222,0.24716151234315475,0.5314208333333333,31.054657453604808,0.016994751381276194,0.1273070199164482
4,no_physics_uq,raw,high,13.0,0.4402057050195225,0.17948717948717952,0.3363825009801449,0.5706836538461538,15.535614961908792,0.8330929738010303,-0.1141190870137601
4,no_physics_uq,raw,low,13.0,0.4656695592289328,0.15384615384615385,0.18387084381299643,0.573888782051282,50.28352908484411,0.12707873940964282,0.007823091891322307
4,no_physics_uq,raw,mid,12.0,0.4108138877312551,0.16666666666666666,0.22276249330283868,0.6112819444444444,24.101845579428225,0.4081608966470332,0.12719424387931005
