m,variant,lambda_phys,tau,calibration,mae_mean,mae_std,rmse_mean,rmse_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
2,mapp,0.1,0.01,calibrated,0.6107418493412663,0.000935859885553226,0.7601776701298953,0.0012901662453126427,0.9736842105263158,0.0,3.2551332910855613,0.007167198586442385,0.02637302631578949,0.0036076795110283285,1.1521072819213642,0.001389673633374258,0.014875780268196475,0.0038144711947821573
2,mapp,1.0,10.0,calibrated,0.6066771286882853,0.0048811808685069406,0.76022419343067,0.0036285785689346597,0.9736842105263158,0.0,3.2050307591756186,0.0033931323614863527,0.02290372807017545,0.0035926851116083874,1.149859799871433,0.003999036022340463,0.009590885947354286,0.003973570626166705
2,no_physics,0.0,1.0,calibrated,0.6109747304948733,0.004237378279888131,0.7602616747561158,0.0032973748291915597,0.9736842105263158,0.0,3.2301164070765176,0.031558645570570844,0.022860745614035106,0.0037937990057013028,1.1511011452904611,0.0023332803507343206,0.2755299898256596,0.047687058679794204
2,fixed_gompertz,1.0,1.0,calibrated,0.6096853748078278,0.002222529920870275,0.7603658416007087,0.002320108999716611,0.9736842105263158,0.0,3.2449094454447427,0.0404940052191945,0.023957236842105278,0.003293421841158933,1.151853523290721,0.0044460584742464565,0.005285772366302187,0.002554921105504774
2,mapp,10.0,10.0,calibrated,0.6065096935878197,0.0027859432814077985,0.760489431282498,0.002170774714163394,0.9736842105263158,0.0,3.163083791732788,0.016970772563903665,0.024979166666666674,0.003470724001175549,1.1485513580663866,0.0022451239832746907,0.006319229900551011,0.00351137727583739
2,mapp,1.0,0.3,calibrated,0.6086709995084164,0.0006888005569276805,0.7605899884666906,0.0016787260306303773,0.9649122807017544,0.015193428136569147,3.211603661378225,0.07899758829441889,0.023300219298245634,0.006404599057025798,1.1508968721492794,0.0030195691906649805,0.011582332330331076,0.0035446565195739765
2,mapp,0.1,0.3,calibrated,0.6072670344769824,0.0020030430456318376,0.7613155910568582,0.0028942213044975146,0.9736842105263158,0.0,3.2005374232927957,0.04123226984559269,0.02499188596491229,0.0017875068202673448,1.1509937786817004,0.003852326303607787,0.01275894683050482,0.00045903048558873223
2,mapp,10.0,1.0,calibrated,0.6096913102042061,0.002294307459917829,0.7613290464460296,0.002557468694603399,0.9736842105263158,0.0,3.210825781027476,0.049625316450232146,0.02585285087719298,0.004700250172611425,1.1514224110599864,0.004894814696210127,0.0053513128072505385,0.0011040604688737992
2,mapp,1.0,0.01,calibrated,0.609061812140505,0.0029556798265888643,0.7613294034770748,0.0027054145492283266,0.9736842105263158,0.0,3.2212103803952536,0.030944906438875337,0.02602390350877194,0.0037437705260359977,1.1518849922801968,0.0017974641016743852,0.004966463726177288,0.0028192590047652916
2,mapp,0.1,0.1,calibrated,0.6125969088415762,0.002874568139525119,0.7614043629717596,0.00039382610983516305,0.9912280701754387,0.015193428136569083,3.2960286935170493,0.07186721682481344,0.0284559210526316,0.010455366734818854,1.1558158666757736,0.0036048757939929135,0.006874057389754933,0.002708572192710153
2,mapp,1.0,1.0,calibrated,0.6095883817689721,0.0002805841705504244,0.7617748840785307,0.0018630830371813391,0.956140350877193,0.015193428136569147,3.1974334518114724,0.03534415515243476,0.022358552631578956,0.001389879202188419,1.1513583007068653,0.003048702448559354,0.011734797868452836,0.001573878916268938
2,mapp,1.0,0.1,calibrated,0.6120461636680391,0.0008937060504659297,0.7617811862555742,0.0023349858835435664,0.9824561403508772,0.015193428136569065,3.2841293017069497,0.01937497885717603,0.026260307017543876,0.004844181179241974,1.1553721462770412,0.002252944566746872,0.013726898460861359,0.005116401458891143
2,mapp,1.0,3.0,calibrated,0.6099721925831482,0.004141518543598933,0.7627401149922045,0.004511620460387141,0.9649122807017544,0.015193428136569147,3.22349214553833,0.043616340917124824,0.02209364035087721,0.0016248845757714182,1.1536840419991732,0.0032959160582582544,0.009508056599818366,0.00280907453430284
2,mapp,10.0,0.03,calibrated,0.6112828378018254,0.0037706016200715056,0.7634187236886478,0.0055906462738967025,0.9824561403508772,0.015193428136569074,3.238840858141581,0.058017631311108264,0.02493092105263159,0.0034219935446964975,1.1552528172303467,0.0041578712486889085,0.005874481526182519,0.007516685876205427
2,mapp,0.1,1.0,calibrated,0.6117872627290669,0.0018115220506490397,0.7637430160176305,0.0021281634975465376,0.9824561403508772,0.015193428136569065,3.2943092981974282,0.09624943694944679,0.028340570175438607,0.013291971191410163,1.158490671730299,0.003994046104303956,0.007114105679200994,0.0017172760789812612
2,mapp,10.0,3.0,calibrated,0.611570571157101,0.0044242660158343265,0.764706711026065,0.004156149346136169,0.9736842105263158,0.0,3.200493415196737,0.03951422511714984,0.022954605263157905,0.0017002062161059405,1.1548385670151333,0.005586235928130728,0.008272071481322902,0.004000443069150294
2,mapp,1.0,0.03,raw,0.6055935601164636,0.00609723696746485,0.755920356374208,0.0006031700193111268,0.13157894736842105,0.0,0.30828082989574523,0.023384777954248197,0.585697149122807,0.020099016205946625,53.21036127646449,9.873307038848584,0.009956182895142487,0.007480370324648703
2,mapp,10.0,0.01,raw,0.6051297676872069,0.008298856527307889,0.7575664142248825,0.004722921425968703,0.16666666666666666,0.015193428136569102,0.31574324524977754,0.02215919741510061,0.573635745614035,0.028360783237670113,48.66120262560224,5.087727983569009,0.007671081385635995,0.0028608509893997486
2,mapp,10.0,0.1,raw,0.6070187877079373,0.0011881505771786174,0.7581959409268842,0.002767833594863171,0.15789473684210525,0.02631578947368421,0.32358497799488534,0.041367680215521035,0.5747322368421053,0.02054275657367894,47.403760734569666,12.06462266530844,0.005824278413089352,0.0027355408975037396
2,mapp,0.1,3.0,raw,0.6105196009626971,0.004313920021470338,0.7583754001140859,0.006118981992330748,0.15789473684210525,0.026315789473684202,0.35216814710905675,0.026750265462044412,0.572539254385965,0.010574178466001083,37.66679734547163,5.593526556918193,0.012925693156655158,0.0032982364321297304
2,fixed_gompertz,10.0,1.0,raw,0.6087776755407583,0.003400790490314652,0.7584144702999666,0.004356277464079101,0.14035087719298245,0.015193428136569098,0.31850457867901577,0.017804360377404387,0.5889866228070175,0.0018991785170711913,50.80352379773777,3.054690440228361,0.002525985477851671,0.00045384755669147146
2,mapp,10.0,0.3,raw,0.6076898945234063,0.0022192923113385807,0.759191485567236,0.002162686033392762,0.15789473684210525,0.0,0.31133033456117437,0.028242700425076903,0.5813111842105263,0.005697535551213382,54.14238391761676,8.121928777293862,0.006392948753496615,0.00452588176665325
2,mapp,0.1,10.0,raw,0.6074553200435874,0.0026506758838988997,0.7593615623559388,0.0027545105498152415,0.14035087719298245,0.015193428136569095,0.3163641824534065,0.05238604316028246,0.579118201754386,0.0018991785170710792,49.52782660967595,20.227171411150955,0.01431046748582862,0.005112844437193323
2,mapp,0.1,0.03,raw,0.6087777111127876,0.004838785580779679,0.7601430602818632,0.0038574552604423414,0.17543859649122806,0.015193428136569105,0.34865333649672964,0.007766975525420736,0.5692497807017544,0.016226588362882332,38.52172838646556,2.7985183634980917,0.013718332300828607,0.009207857917132063
2,mapp,0.1,0.01,raw,0.6107418493412663,0.000935859885553226,0.7601776701298953,0.0012901662453126427,0.16666666666666666,0.030386856273138196,0.3299393019263159,0.016948313238192996,0.5769252192982456,0.010049508102973295,47.2201554692025,3.235909692048103,0.014875780268196475,0.0038144711947821573
2,mapp,1.0,10.0,raw,0.6066771286882853,0.0048811808685069406,0.76022419343067,0.0036285785689346597,0.14912280701754385,0.015193428136569098,0.3298105990285413,0.019347821076443276,0.5747322368421052,0.009868421052631568,40.96691226934289,4.084958191839965,0.009590885947354286,0.003973570626166705
2,no_physics,0.0,1.0,raw,0.6109747304948733,0.004237378279888131,0.7602616747561158,0.0032973748291915597,0.14035087719298245,0.015193428136569105,0.31636904075480343,0.020870372018868346,0.585697149122807,0.003798357034142247,45.84879518843087,5.634300777139542,0.2755299898256596,0.047687058679794204
2,fixed_gompertz,1.0,1.0,raw,0.6096853748078278,0.002222529920870275,0.7603658416007087,0.002320108999716611,0.15789473684210525,0.02631578947368421,0.33191845030115363,0.01547576438520871,0.5813111842105263,0.011395071102426794,42.97318206103759,8.202952471799025,0.005285772366302187,0.002554921105504774
2,mapp,10.0,10.0,raw,0.6065096935878197,0.0027859432814077985,0.760489431282498,0.002170774714163394,0.14912280701754385,0.015193428136569091,0.28842072051606676,0.012819494771456056,0.5835041666666667,0.009495892585355685,54.657131138848904,13.114029712525316,0.006319229900551011,0.00351137727583739
