m,lambda_phys,tau,repeat,w_gompertz_mean,w_logistic_mean,w_exponential_mean,top_gompertz_frac,top_logistic_frac,top_exponential_frac
3,1.0,3.0,2.0,0.33340367334976534,0.3332205788608183,0.3333757483122642,0.5964912280701754,0.07894736842105263,0.32456140350877194
3,10.0,3.0,2.0,0.33336945610088214,0.3332740379530087,0.3333565017633271,0.6228070175438597,0.06140350877192982,0.3157894736842105
3,0.1,10.0,2.0,0.3333537785107629,0.3333060359745695,0.33334018682178695,0.5087719298245613,0.30701754385964913,0.18421052631578946
3,1.0,10.0,2.0,0.333346082714566,0.33330675044603514,0.33334716631655104,0.40350877192982454,0.2631578947368421,0.3333333333333333
3,10.0,10.0,2.0,0.3333422680173004,0.3333165446917216,0.3333411799711093,0.4385964912280702,0.08771929824561403,0.47368421052631576
4,0.1,0.01,2.0,0.1491561445378042,0.48359998223858075,0.3672438667243871,0.11403508771929823,0.543859649122807,0.3421052631578947
4,1.0,0.01,2.0,0.1693271076314545,0.5287994775398258,0.3018734195198689,0.10526315789473684,0.5964912280701755,0.2982456140350877
4,10.0,0.01,2.0,0.44103476425567484,0.4200328647684379,0.13893237139862583,0.3508771929824561,0.5,0.14912280701754385
4,0.1,0.03,2.0,0.17265080319030532,0.40728752779888744,0.4200616671556705,0.14035087719298245,0.2982456140350877,0.5614035087719299
4,1.0,0.03,2.0,0.29487266858687905,0.37615355600913364,0.3289737672414304,0.32456140350877194,0.31578947368421056,0.35964912280701755
4,10.0,0.03,2.0,0.5356129609179079,0.3968082583088657,0.06757878650172315,0.6578947368421052,0.3157894736842105,0.02631578947368421
4,0.1,0.1,2.0,0.21502362137318398,0.3984955321801336,0.3864808455109596,0.12280701754385964,0.3421052631578947,0.5350877192982456
4,1.0,0.1,2.0,0.31051765555027216,0.33708648082979936,0.352395858158145,0.23684210526315788,0.2280701754385965,0.5350877192982456
4,10.0,0.1,2.0,0.5167724037902397,0.44420936772007735,0.03901823451922439,0.5789473684210527,0.42105263157894735,0.0
4,0.1,0.3,2.0,0.301187869806247,0.34942757429783805,0.3493845627496117,0.2543859649122807,0.41228070175438597,0.3333333333333333
4,1.0,0.3,2.0,0.3319821833518513,0.3343183939394198,0.33369942362371247,0.2982456140350877,0.3421052631578947,0.35964912280701755
4,10.0,0.3,2.0,0.4639628487720824,0.40803166864472523,0.12800548360231365,0.8157894736842105,0.16666666666666666,0.017543859649122806
4,0.1,1.0,2.0,0.333859679730315,0.33283151555479623,0.333308806544856,0.3859649122807018,0.2807017543859649,0.3333333333333333
4,1.0,1.0,2.0,0.3342804432960979,0.3322989655691281,0.3334205913961979,0.3333333333333333,0.2719298245614035,0.3947368421052631
4,10.0,1.0,2.0,0.33401761138648317,0.33147824124286046,0.3345041518148623,0.2631578947368421,0.06140350877192982,0.6754385964912281
4,0.1,3.0,2.0,0.3337243468615047,0.33282770111895443,0.3334479522809648,0.40350877192982454,0.21929824561403508,0.37719298245614036
4,1.0,3.0,2.0,0.33362402257166407,0.33292544097231147,0.3334505393316871,0.4824561403508772,0.17543859649122806,0.3421052631578947
4,10.0,3.0,2.0,0.33352706803564436,0.33283565860045583,0.33363727650098635,0.3508771929824561,0.08771929824561403,0.5614035087719299
4,0.1,10.0,2.0,0.3333409933144586,0.333321568474435,0.333337439256802,0.30701754385964913,0.2631578947368421,0.4298245614035088
4,1.0,10.0,2.0,0.3333980935184579,0.3332044369818872,0.3333974642711773,0.40350877192982454,0.25438596491228066,0.3421052631578947
4,10.0,10.0,2.0,0.33333747820896015,0.3332940023719219,0.33336851392921646,0.3333333333333333,0.41228070175438597,0.25438596491228066
