repeat,m,method,method_id,calibration_type,alpha,nominal_coverage,n_val,n_calibration_patients,n_test,finite_sample_quantile_level,finite_sample_quantile_rank,q_score,score_min,score_median,score_p90,score_max,raw_rmse,raw_picp,raw_mpiw,raw_ece,raw_nll,calibrated_picp,calibrated_mpiw,calibrated_ece,calibrated_nll,covered_count,picp_wilson95_low,picp_wilson95_high,picp_patient_cluster_bootstrap95_low,picp_patient_cluster_bootstrap95_high,n_test_patients,n_cluster_bootstrap
2,1,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.571152472872854,0.012833224400205703,0.6055765643972566,1.654267385067296,2.571152472872854,0.4606072476204509,0.9736842105263158,2.442670426326501,0.11276776315789477,0.7191428334015629,1.0,3.204384446144104,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,2,Deterministic,deterministic,absolute_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.0562220513820648,0.0009744763374328613,0.3250660896301268,1.0316959619522095,1.5396701395511625,0.46027497043234183,,,,,0.9736842105263158,2.1124441027641296,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
2,2,Deterministic,deterministic,absolute_residual,0.05,0.95,27,19,38,1.0,19,1.5396701395511625,0.0009744763374328613,0.3250660896301268,1.0316959619522095,1.5396701395511625,0.46027497043234183,,,,,1.0,3.0793402791023254,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,2,Cohort-level Feature GP,gaussian_process,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.7655802326459478,0.11370396417277871,0.5633771975379468,1.5760714967250082,2.3443369488920958,0.43905541567909384,0.9736842105263158,2.470086992803998,0.10618881578947371,0.699513106986579,0.9736842105263158,2.2251106662217794,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
2,2,Cohort-level Feature GP,gaussian_process,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3443369488920958,0.11370396417277871,0.5633771975379468,1.5760714967250082,2.3443369488920958,0.43905541567909384,0.9736842105263158,2.470086992803998,0.10618881578947371,0.699513106986579,1.0,2.9545013326186638,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,2,MC Dropout,mc_dropout,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.7001265027813732,0.02161509192542609,0.5617850039328156,1.6028529598228756,2.3567813419656742,0.44052242789298646,1.0,2.518175358261615,0.12263618421052633,0.7047431611885583,0.9736842105263158,2.184334354611229,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
2,2,MC Dropout,mc_dropout,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3567813419656742,0.02161509192542609,0.5617850039328156,1.6028529598228756,2.3567813419656742,0.44052242789298646,1.0,2.518175358261615,0.12263618421052633,0.7047431611885583,1.0,3.028009058820242,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,2,Deep Ensemble,deep_ensemble,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.8331076281866991,0.06369053523956546,0.5507960525315542,1.5837633471178139,2.4949099184336947,0.4314279637549543,0.9736842105263158,2.4219509562087325,0.1259256578947369,0.6775885368927842,0.9736842105263158,2.2651930382088943,,,37,0.8650512388404787,0.9953394123142312,0.9069767441860465,1.0,26,5000
2,2,Deep Ensemble,deep_ensemble,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.4949099184336947,0.06369053523956546,0.5507960525315542,1.5837633471178139,2.4949099184336947,0.4314279637549543,0.9736842105263158,2.4219509562087325,0.1259256578947369,0.6775885368927842,1.0,3.0829900499539766,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,2,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.9786438611862718,0.020092508798082307,0.5200083914045603,1.6244796821454608,2.5861612761793196,0.43791074609523517,0.9736842105263158,2.423814383108373,0.1193467105263158,0.6889910764228788,0.9736842105263158,2.446915090084076,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
2,2,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.5861612761793196,0.020092508798082307,0.5200083914045603,1.6244796821454608,2.5861612761793196,0.43791074609523517,0.9736842105263158,2.423814383108373,0.1193467105263158,0.6889910764228788,1.0,3.198209226131439,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,3,Deterministic,deterministic,absolute_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.141910582780838,0.005630314350128174,0.32085914909839636,0.9581537246704102,1.5412508547306059,0.43161117065616245,,,,,0.9736842105263158,2.283821165561676,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
2,3,Deterministic,deterministic,absolute_residual,0.05,0.95,27,19,38,1.0,19,1.5412508547306059,0.005630314350128174,0.32085914909839636,0.9581537246704102,1.5412508547306059,0.43161117065616245,,,,,1.0,3.082501709461212,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,3,Cohort-level Feature GP,gaussian_process,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.7667174847381157,0.1164891006079155,0.5643507943375999,1.5757780767173157,2.3411958197064844,0.4391871076152055,0.9736842105263158,2.471570013111951,0.10947828947368424,0.6999848220469722,0.9736842105263158,2.2278807117693047,,,37,0.8650512388404787,0.9953394123142312,0.9069585755813953,1.0,26,5000
2,3,Cohort-level Feature GP,gaussian_process,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3411958197064844,0.1164891006079155,0.5643507943375999,1.5757780767173157,2.3411958197064844,0.4391871076152055,0.9736842105263158,2.471570013111951,0.10947828947368424,0.6999848220469722,1.0,2.9523141386536778,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,3,MC Dropout,mc_dropout,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,2.163844467121002,0.01057165555368222,0.5873924170237949,1.7252983130927586,2.664295533317608,0.42876493912826347,0.9736842105263158,2.2012881795266646,0.09960986842105264,0.635531194081887,0.9736842105263158,2.430271824063864,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
2,3,MC Dropout,mc_dropout,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.664295533317608,0.01057165555368222,0.5873924170237949,1.7252983130927586,2.664295533317608,0.42876493912826347,0.9736842105263158,2.2012881795266646,0.09960986842105264,0.635531194081887,1.0,2.9923418545030342,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,3,Deep Ensemble,deep_ensemble,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.9100476478988215,0.1365819292136243,0.6146683605961615,1.6953186042463926,2.3890177904467,0.4283335199375351,0.9736842105263158,2.351377254904795,0.11276776315789476,0.6662755916745254,0.9736842105263158,2.291492410309597,,,37,0.8650512388404787,0.9953394123142312,0.9069767441860465,1.0,26,5000
2,3,Deep Ensemble,deep_ensemble,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3890177904467,0.1365819292136243,0.6146683605961615,1.6953186042463926,2.3890177904467,0.4283335199375351,0.9736842105263158,2.351377254904795,0.11276776315789476,0.6662755916745254,1.0,2.866114958401921,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,3,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.7338549444725584,0.08184539437894739,0.5738086100929812,1.700002520811077,2.3901737104056147,0.44159871240633153,1.0,2.4182242725811673,0.10618881578947369,0.6921043565851214,0.9736842105263158,2.139248549938202,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
2,3,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3901737104056147,0.08184539437894739,0.5738086100929812,1.700002520811077,2.3901737104056147,0.44159871240633153,1.0,2.4182242725811673,0.10618881578947369,0.6921043565851214,1.0,2.949021577835082,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,4,Deterministic,deterministic,absolute_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.1944126188755035,0.007610678672790527,0.3128942400217057,0.9389514923095703,1.5149500072002409,0.41965970003726,,,,,0.9736842105263158,2.388825237751007,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
