m,method,Method,Subgroup,n_per_repeat,rmse_mean,rmse_sd,RMSE,picp_mean,picp_sd,PICP,mpiw_mean,mpiw_sd,MPIW,ece_mean,ece_sd,ECE,nll_mean,nll_sd,NLL,mae_mean,mae_sd,MAE
1,bayesian_laplace,Residual Gaussian,other,8,0.8528485417170102,0.00026609382684165755,0.8528 +/- 0.0003,1.0,0.0,1.0000 +/- 0.0000,6.329153844465812,0.0619609534158141,6.3292 +/- 0.0620,0.18732916666666669,0.009021097956087902,0.1873 +/- 0.0090,1.537527089157875,0.007142494611102187,1.5375 +/- 0.0071,0.7381769039978584,0.0077451210469115656,0.7382 +/- 0.0077
2,deterministic,Deterministic,abdomen/liver,13,0.7777432351869349,0.005500717919047762,0.7777 +/- 0.0055,1.0,0.0,1.0000 +/- 0.0000,3.294139345486959,0.10342822307717577,3.2941 +/- 0.1034,0.05452532051282053,0.009772534331904094,0.0545 +/- 0.0098,1.1739701514035383,0.0053995284869949025,1.1740 +/- 0.0054,0.5959776983811306,0.009771894061299307,0.5960 +/- 0.0098
2,deterministic,Deterministic,chest/lung,17,0.8127918595415622,0.007729515404300146,0.8128 +/- 0.0077,0.9607843137254902,0.033961780540566235,0.9608 +/- 0.0340,3.294139345486959,0.10342822307717577,3.2941 +/- 0.1034,0.04447524509803924,0.002253364138866581,0.0445 +/- 0.0023,1.2135328509452012,0.007471747746012857,1.2135 +/- 0.0075,0.6435624074336944,0.0070941713374808,0.6436 +/- 0.0071
2,deterministic,Deterministic,other,8,0.6191346578885725,0.009095632412536895,0.6191 +/- 0.0091,1.0,0.0,1.0000 +/- 0.0000,3.294139345486959,0.10342822307717577,3.2941 +/- 0.1034,0.10696250000000003,0.023083164860997728,0.1070 +/- 0.0231,1.0167326220975246,0.014684114666163645,1.0167 +/- 0.0147,0.5553246461010227,0.0024086495926290263,0.5553 +/- 0.0024
2,mc_dropout,MC Dropout,abdomen/liver,13,0.7749904127753577,0.0022402331168735697,0.7750 +/- 0.0022,0.9743589743589745,0.04441155916843272,0.9744 +/- 0.0444,3.8923018858133225,0.499917448608698,3.8923 +/- 0.4999,0.09502147435897439,0.038054739717808324,0.0950 +/- 0.0381,1.1927335482793706,0.03077338757823659,1.1927 +/- 0.0308,0.5957820917489246,0.005408341120847057,0.5958 +/- 0.0054
2,mc_dropout,MC Dropout,chest/lung,17,0.8030206686622234,0.00801986186252433,0.8030 +/- 0.0080,0.9803921568627452,0.03396178054056623,0.9804 +/- 0.0340,4.118654275136607,0.32883259744655574,4.1187 +/- 0.3288,0.07893014705882352,0.012147075559025639,0.0789 +/- 0.0121,1.3050405162246856,0.011889861184264099,1.3050 +/- 0.0119,0.6380859490809049,0.00800516099801655,0.6381 +/- 0.0080
2,mc_dropout,MC Dropout,other,8,0.6175692208936461,0.008342584711309858,0.6176 +/- 0.0083,1.0,0.0,1.0000 +/- 0.0000,3.5044517740910144,0.5559464362216904,3.5045 +/- 0.5559,0.1108541666666667,0.03169400902904733,0.1109 +/- 0.0317,1.05284722482108,0.06888872722408362,1.0528 +/- 0.0689,0.5577737282154461,0.00490859806600993,0.5578 +/- 0.0049
2,deep_ensemble,Deep Ensemble,abdomen/liver,13,0.7759919160076926,0.008229884777539961,0.7760 +/- 0.0082,0.9743589743589745,0.04441155916843272,0.9744 +/- 0.0444,3.20125725225288,0.01983376351183794,3.2013 +/- 0.0198,0.04725801282051282,0.00654505700534044,0.0473 +/- 0.0065,1.1537913367019075,0.011406499313060765,1.1538 +/- 0.0114,0.5849549366543308,0.0030573228784663968,0.5850 +/- 0.0031
2,deep_ensemble,Deep Ensemble,chest/lung,17,0.7825809298449098,0.000552406622696896,0.7826 +/- 0.0006,0.9411764705882352,1.3597399555105182e-16,0.9412 +/- 0.0000,3.332305043787007,0.01721200267190849,3.3323 +/- 0.0172,0.06593995098039217,0.0012243221884874161,0.0659 +/- 0.0012,1.227771569195922,0.0034908548905600596,1.2278 +/- 0.0035,0.5934529818010096,0.008005066907210966,0.5935 +/- 0.0080
2,deep_ensemble,Deep Ensemble,other,8,0.6122560824790028,0.005930505155444266,0.6123 +/- 0.0059,1.0,0.0,1.0000 +/- 0.0000,3.1298134245349547,0.019145807149504854,3.1298 +/- 0.0191,0.09282083333333335,0.009021097956087904,0.0928 +/- 0.0090,0.9900783724064354,0.004047856979540381,0.9901 +/- 0.0040,0.5518217187840492,0.004773946441668403,0.5518 +/- 0.0048
2,bayesian_laplace,Residual Gaussian,abdomen/liver,13,0.7765153246969322,0.005904255307813522,0.7765 +/- 0.0059,1.0,0.0,1.0000 +/- 0.0000,3.243904789288839,0.05380239654582209,3.2439 +/- 0.0538,0.05825673076923077,0.011485614233445534,0.0583 +/- 0.0115,1.170191376496258,0.004856337760283558,1.1702 +/- 0.0049,0.5899928134794418,0.005055057842037964,0.5900 +/- 0.0051
2,bayesian_laplace,Residual Gaussian,chest/lung,17,0.8136350701473875,0.00645935079701367,0.8136 +/- 0.0065,0.9411764705882352,1.3597399555105182e-16,0.9412 +/- 0.0000,3.243904789288839,0.05380239654582209,3.2439 +/- 0.0538,0.045670833333333355,0.011172233749311294,0.0457 +/- 0.0112,1.2131765992658918,0.007728740525476044,1.2132 +/- 0.0077,0.6434941534318176,0.011053858166056047,0.6435 +/- 0.0111
2,bayesian_laplace,Residual Gaussian,other,8,0.6264861889353238,0.012093858822875683,0.6265 +/- 0.0121,1.0,0.0,1.0000 +/- 0.0000,3.243904789288839,0.05380239654582209,3.2439 +/- 0.0538,0.09637916666666668,0.009813903827393734,0.0964 +/- 0.0098,1.0163385620470484,0.013019148321913943,1.0163 +/- 0.0130,0.5568496074217061,0.004905896506674184,0.5568 +/- 0.0049
3,deterministic,Deterministic,abdomen/liver,13,0.540078354998642,0.004905478556656853,0.5401 +/- 0.0049,1.0,0.0,1.0000 +/- 0.0000,3.0583579502999783,0.018759761347072725,3.0584 +/- 0.0188,0.13444455128205132,0.014687742612037933,0.1344 +/- 0.0147,0.9103284847832325,0.006719641138679252,0.9103 +/- 0.0067,0.39412865854608703,0.0040154120139574805,0.3941 +/- 0.0040
3,deterministic,Deterministic,chest/lung,17,0.594568723104058,0.023524190613401195,0.5946 +/- 0.0235,1.0,0.0,1.0000 +/- 0.0000,3.0583579502999783,0.018759761347072725,3.0584 +/- 0.0188,0.08980857843137256,0.020657610077029223,0.0898 +/- 0.0207,0.9614167807889794,0.023177436834764528,0.9614 +/- 0.0232,0.48421812221846156,0.027504630385781288,0.4842 +/- 0.0275
